nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Cikini Cozy Coliving Exclusive Hoek Menteng Jakarta Pusat,4500000,12.0,2.223149335473699,campur,1,1,1,1,1,0,1,1
Kost Singgahsini Cut Nyak Dien Residence Tipe A Menteng Jakarta Pusat,3025000,12.0,1.503731384184104,campur,1,1,1,1,1,1,1,1
Kost Singgahsini Shankee Sudirman Tipe B Setiabudi Jakarta Selatan,4525000,15.0,1.83976705221471,campur,1,1,1,1,1,1,1,0
Kost Apik Perintis 5 Karet Kuningan Tipe D Setiabudi Jakarta Selatan,1155000,6.0,1.8631268679075528,campur,1,0,0,1,1,0,1,0
Kost Singgahsini Kramat Kwitang 30 Tipe B Senen Jakarta Pusat,1495000,4.620000000000001,2.274749329662275,putra,1,0,0,1,1,1,0,0
Kost Singgahsini Sofia Thamrin Tipe B Tanah Abang Jakarta Pusat,2925000,9.45,1.2501563013515236,campur,1,1,0,1,1,0,1,0
Kost Apik Kebon Kacang Tipe B Tanah Abang Jakarta Pusat,1725000,10.5,0.8790486024058662,putri,1,0,0,1,1,0,0,0
Kost Apik Aipda Petamburan Tipe D Tanah Abang Jakarta Pusat,1100000,9.0,1.899072351722906,putri,1,0,0,1,1,1,0,0
Kost Cikini Cozy Coliving Deluxe Menteng Jakarta Pusat,3750000,12.0,2.223149335473699,campur,1,1,1,1,1,0,1,1
Kost Alivio Suites Setiabudi Jakarta Selatan,6500000,16.0,1.379685234105042,campur,1,1,1,0,1,1,1,1
Kost Singgahsini Vanela 15 Tipe B Menteng Jakarta Pusat,3095000,10.5,0.6359608282121956,campur,1,1,1,1,1,0,0,1
Kost Singgahsini Tanah Abang Tipe A Jakarta Pusat,1825000,14.0,0.8397280094251451,putri,1,1,0,1,1,1,1,0
Kost Singgahsini Kramat Kwitang 30 Tipe A Senen Jakarta Pusat,1805000,11.61,2.274749329662275,putra,1,1,0,1,1,1,0,0
Kost Apik Perintis 5 Karet Kuningan Tipe C Setiabudi Jakarta Selatan,1365000,9.0,1.8631268679075528,campur,1,0,0,1,1,0,1,0
Kost Singgahsini Nayan Setiabudi Tipe A Kuningan Jakarta Selatan,2425000,8.7,1.347869483427353,campur,1,1,1,1,1,0,1,1
Kost Cikini Cozy Coliving Exclusive Menteng Jakarta Pusat,4250000,12.0,2.223149335473699,campur,1,1,1,1,1,0,1,1
Kost Apik 89G Kwitang Tipe B Senen Jakarta Pusat,1125000,4.41,2.4301106002282213,putri,1,0,0,1,1,1,0,0
Kost Singgahsini Vanela 8 Benhil Tipe A Tanah Abang Jakarta Pusat,3000000,9.0,2.2062293152073176,campur,1,1,1,1,1,0,0,0
Kost Singgahsini Alaya Pejompongan Tipe A Tanah Abang Jakarta Pusat,1995000,12.96,1.9564920156865104,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Guntur 42 Tipe A Setiabudi Jakarta Selatan,3525000,18.0,2.026267866332726,campur,1,1,1,1,1,1,1,0
Kost Singgahsini W One Kebon Kacang Tipe B Tanah Abang Jakarta Pusat,3225000,12.6,0.6495285941453699,campur,1,1,1,1,1,0,0,0
Kost Singgahsini Sofia Thamrin Tipe C Tanah Abang Jakarta Pusat,2525000,9.45,1.2501563013515236,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Greenhome Tipe A Bendungan Hilir Jakarta Pusat,3625000,15.75,2.287347565026893,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Anisa Kebon Kacang 6 Tipe D Tanah Abang Jakarta Pusat,2525000,7.5,1.0264755958832252,putri,1,1,0,1,1,0,1,0
Kost Singgahsini Rumah 5111 Tipe B Setiabudi Jakarta Selatan,2925000,10.56,1.3670835809155355,campur,1,1,0,1,1,0,1,1
Kost Singgahsini Miracle Petamburan II Tipe B Tanah Abang Jakarta Pusat,1825000,6.0,1.8123435508656107,putri,1,1,0,1,1,0,1,0
Kost Apik Kebon Kacang Tipe A Tanah Abang Jakarta Pusat,1475000,8.959999999999999,0.8790486024058662,putri,1,0,0,1,1,1,0,0
Kost Singgahsini Vanela 15 Tipe C Menteng Jakarta Pusat,2875000,10.5,0.6359608282121956,campur,1,1,1,1,1,0,0,1
Kost Apik Perintis 5 Karet Kuningan Tipe B Setiabudi Jakarta Selatan,1675000,12.0,1.8631268679075528,campur,1,0,0,1,1,0,1,0
Kost Singgahsini Vanela 15 Tipe A Menteng Jakarta Pusat,3205000,10.5,0.6359608282121956,campur,1,1,1,1,1,0,0,1
Kost Singgahsini Greenhome Tipe C Bendungan Hilir Jakarta Pusat,2975000,9.0,2.287347565026893,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Guntur 40 Tipe B Setiabudi Jakarta Selatan,2975000,8.100000000000001,2.02810943283584,campur,1,1,1,1,1,0,1,0
