nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Lebak Bulus Gunung Balong Tipe J Cilandak Jakarta Selatan,6000000,56.0,1.925160125022208,campur,1,1,0,1,1,1,1,1
Kost Wijaya Kusuma 8 Cilandak Jakarta Selatan,2750000,18.0,2.56374431404068,putri,1,1,1,1,1,0,1,1
Kost Sultan Residence Suite Family Syariah Cilandak Jakarta Selatan,5500000,20.0,1.3756644795447748,campur,1,1,1,1,1,1,1,1
Kost Fatmawati 9 Cilandak Jakarta Selatan,5200000,16.0,1.9737676751457336,putra,1,1,1,1,1,0,0,1
Kost Lebak Bulus Gunung Balong Tipe B Cilandak Jakarta Selatan,5000000,56.0,1.9093973454537232,campur,1,1,1,1,1,0,1,1
Kost The Guritno House Vip Kebayoran Lama Jakarta Selatan,5000000,20.0,0.1770849080610394,campur,1,1,1,1,1,0,1,0
Kost R Residence Tipe Standard Cilandak Jakarta Selatan,5000000,18.0,2.2516719483097205,campur,1,1,1,1,1,1,1,0
Kost Amira Tipe B Cilandak Jakarta Selatan,5000000,25.0,1.644105682154831,campur,1,1,0,0,1,0,0,1
Kost Stay Kebayoran Lama Jakarta Selatan,5000000,20.0,1.222677968273642,campur,1,1,1,0,1,1,1,1
Kost Taman Tipe VIP Cilandak Jakarta Selatan,5000000,18.0,1.7890997956546408,campur,1,1,1,1,1,0,1,1
Kost Griya Lebak Bulus Syariah Cilandak Jakarta Selatan,5000000,13.5,1.90112235747292,campur,1,1,1,1,1,1,1,0
Kost Bkc Exclusive Executive Cilandak Jakarta Selatan,6000000,60.0,2.346800675770528,campur,1,0,1,1,1,0,1,0
Kost Amaya Eco Residence Cibinong Bogor,4999986,12.25,1.2200419289802258,campur,1,1,1,1,1,1,1,1
Kost Mango Superior Cilandak Jakarta Selatan,4950000,18.0,2.5929515530075102,campur,1,1,1,1,1,0,1,0
Kost Puri Lotus Cilandak Jakarta Selatan,4950000,12.0,1.4103883601101987,campur,1,1,1,0,1,1,1,0
Kost Naza Grande Cilandak Jakarta Selatan,4850000,25.0,1.6908730296844072,campur,1,1,1,1,1,1,1,0
Kost Maijo Tipe B Cilandak Jakarta Selatan,4850000,15.0,1.6812726184719529,campur,1,1,1,0,1,0,1,0
Kost Haru Home Studio Executive Cilandak Jakarta Selatan,4500000,22.62,1.684001579466564,putri,1,1,0,1,1,1,1,0
Kost Yasa Residence Fatmawati Deluxe Room Cilandak Jakarta Selatan,4500000,20.0,1.8953380982076369,campur,1,1,1,1,1,1,1,0
Kost The View Le Blus 2 Tipe A Cilandak Jakarta Selatan,4500000,12.0,1.113863383256182,campur,1,1,1,1,1,0,1,1
Kost Taman Tipe Junior VIP Cilandak Jakarta Selatan,4500000,15.0,1.7890997956546408,campur,1,1,1,0,1,0,1,1
Kost Fatmawati Residence Cozy Cilandak Jakarta Selatan,4500000,25.0,2.355895979965687,campur,1,1,1,0,1,0,1,0
Kost Mango Premium Cilandak Jakarta Selatan,6499000,25.0,2.5929515530075102,campur,1,1,1,1,1,0,1,0
Kost Mango Standard Cilandak Jakarta Selatan,4499000,15.0,2.5929515530075102,campur,1,1,1,1,1,0,1,0
Kost Grand Tipe Standart Cilandak Jakarta Selatan,4400000,12.0,1.3719306218161162,campur,1,1,0,1,1,0,1,1
Kost Maijo Tipe A Cilandak Jakarta Selatan,4350000,15.0,1.6963972323308385,campur,1,1,1,1,1,0,1,0
