nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Singgahsini Malale Residence 1 Tipe A Kelapa Gading Jakarta Utara,2775000,14.1,1.935779439401332,campur,1,1,0,1,1,0,1,1
Kost Tpi C10 Kelapa Gading Jakarta Utara,2000000,12.0,1.7709246898551996,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Kelapa Sawit Raya 7 Tipe B Kelapa Gading Jakarta Utara,1550000,7.5,1.811713061097852,campur,1,1,0,1,1,0,0,1
Kost Singgahsini Maxtim Tipe A Kelapa Gading Jakarta Utara,1125000,6.0,1.370618737317796,putri,1,0,1,1,1,0,0,0
Kost Singgahsini Maxtim Tipe B Kelapa Gading Jakarta Utara,1575000,10.5,1.370618737317796,putri,1,0,1,1,1,0,0,0
Kost Singgahsini Serenity Living Tipe B Kelapa Gading Jakarta Utara,1375000,6.0,1.4458725766551472,campur,1,0,1,1,1,0,1,0
Kost Harpa Place Tipe B Kelapa Gading Jakarta Utara,2200000,10.5,1.6562806688919016,campur,1,1,1,1,1,1,1,0
Kost Gading Elok Residence II Single Bedroom Kelapa Gading Jakarta Utara,2200000,9.0,1.0397677825525735,campur,1,1,1,1,1,0,1,1
Kost Lestari Vip Kelapa Gading Jakarta Utara,1700000,9.0,0.6923112293248873,campur,1,0,1,0,1,1,0,0
Kost Singgahsini Indri Taska 35 Tipe B Kelapa Gading Jakarta Utara,1675000,8.75,1.2197557282702092,putri,1,0,1,1,1,0,0,0
Kost Singgahsini Jeje Tipe A Kelapa Gading Jakarta Utara,1875000,6.0,0.6217407349039126,campur,1,1,0,1,1,0,0,0
Kost Singgahsini Taska 33 Tipe A Kelapa Gading Jakarta Utara,1925000,6.72,1.2402816885071295,campur,1,1,0,1,1,0,0,1
Kost Singgahsini Summagung Tipe A Kelapa Gading Jakarta Utara,1825000,8.75,1.2393379013188806,campur,1,1,1,1,1,0,0,0
Kost Singgahsini Dahlia I Tipe D Kelapa Gading Jakarta Utara,1525000,5.76,1.9804713137088548,putri,1,0,0,1,1,0,1,0
Kost Singgahsini Dahlia I Tipe C Kelapa Gading Jakarta Utara,1625000,6.300000000000001,1.9804713137088548,putri,1,0,0,1,1,0,1,0
Kost Singgahsini Dahlia I Tipe A Kelapa Gading Jakarta Utara,2025000,9.0,1.9804713137088548,putri,1,1,0,1,1,0,1,0
Kost Singgahsini Dahlia I Tipe B Kelapa Gading Jakarta Utara,1875000,7.199999999999999,1.9804713137088548,putri,1,1,0,1,1,0,1,0
Kost Singgahsini Rumah Kedua Tipe B Kelapa Gading Jakarta Utara,2275000,11.840000000000002,1.9424176198812888,campur,1,1,1,1,1,0,1,1
Kost Singgahsini 3L Residence Tipe C Kelapa Gading Jakarta Utara,1725000,6.9,1.1164529891674255,campur,1,0,1,1,1,0,0,0
Kost Singgahsini Victory Tipe B Kelapa Gading Jakarta Utara,2300000,10.240000000000002,0.8246056260469747,putri,1,1,1,1,1,0,1,0
Kost Singgahsini Rumah Kedua Tipe C Kelapa Gading Jakarta Utara,2125000,10.240000000000002,1.9424176198812888,campur,1,1,1,1,1,0,1,1
Kost Singgahsini 3L Residence Tipe B Kelapa Gading Jakarta Utara,1875000,9.0,1.1164529891674255,campur,1,0,1,1,1,0,0,0
Kost Singgahsini Serenity Living Tipe A Kelapa Gading Jakarta Utara,1575000,6.0,1.4458725766551472,campur,1,0,1,1,1,0,1,0
Kost Singgahsini T18A Pegangsaan Dua Tipe A Kelapa Gading Jakarta Utara,1690000,8.399999999999999,1.5452153619898832,putri,1,0,0,1,1,0,0,0
Kost Molek Tipe D Kelapa Gading Jakarta Utara,1600000,6.0,1.4829394541859453,campur,1,0,0,1,1,1,0,1
Kost Puan Kelapa Gading Jakarta Utara,1900000,12.0,0.4832386731568447,putri,1,0,1,1,1,1,1,1
Kost Pintu Hijau Tipe A Kelapa Gading Jakarta Utara,2500000,12.0,0.698553339528965,putri,1,1,1,1,1,0,1,1
Kost Nias Kelapa Gading Jakarta Utara,1900000,9.0,1.0393082761368206,campur,1,1,0,1,1,1,1,1
Kost Singgahsini Cantika Tipe C Kelapa Gading Jakarta Utara,2000000,7.199999999999999,0.5284056450228984,putri,1,0,1,1,1,0,0,0
Kost Singgahsini Serenity Living Tipe C Kelapa Gading Jakarta Utara,1225000,4.0,1.4458725766551472,campur,1,0,1,1,1,0,1,0
Kost Singgahsini Pintu Merah Tipe B Kelapa Gading Jakarta Utara,1800000,8.75,1.1616218918824637,campur,1,0,0,1,1,1,0,0
Kost Singgahsini Maxtim Tipe C Kelapa Gading Jakarta Utara,1775000,16.5,1.370618737317796,putri,1,1,1,1,1,0,0,0
